Year,Age 0-14,Age 15-59,Age 60-74,Age 75+
1998,186,6931,34217,70361
1999,192,6796,32883,70474
2000,121,6661,30750,68470
2001,160,6902,29107,68295
2002,129,6986,29021,71175
2003,152,6779,27921,70670
2004,161,6632,27428,72317
2005,171,7100,26531,72672
2006,180,7040,25105,68073
2007,164,7280,25633,71234
2008,182,7413,25167,73925
2009,192,7257,26558,78864
2010,220,7963,27311,81464
2011,258,7782,27271,85829
2012,209,8428,27926,90387
2013,265,9318,29801,94136
2014,242,10569,32371,102831
2015,227,11988,36580,111790
2016,226,13037,37887,116895
2017,238,14299,40724,123525
2018,271,14908,43309,129467
